ID,Genotype,Location,Year,pod_shattering
165,Olimpiya,Kuban,2020,0
166,SK_Optima,Kuban,2020,10
167,Selekta_201,Kuban,2020,10
168,YES_Gladiator,Kuban,2020,25
171,SK_Veda,Kuban,2020,20
172,SK_Riana,Kuban,2020,0
173,Selekta_301,Kuban,2020,0
174,Vilana,Kuban,2020,0
175,PIN_419,Kuban,2020,0
176,Trembita,Kuban,2020,0
179,Selekta_302,Kuban,2020,0
180,Shama,Kuban,2020,0
181,Soriano,Kuban,2020,0
182,YES_Palador,Kuban,2020,0
185,SG_Kalao,Kuban,2020,0
186,Zelda,Kuban,2020,10
187,OAK_M·edok,Kuban,2020,15
189,RZHT_Sforza,Kuban,2020,5
190,Bettina,Kuban,2020,5
191,Santana,Kuban,2020,5
192,Regina,Kuban,2020,35
193,Kleopatra,Kuban,2020,15
194,Olviya,Kuban,2020,5
198,Annushka,Kuban,2020,15
201,Svapa,Kuban,2020,15
203,Paradis,Kuban,2020,10
205,Oressa,Kuban,2020,10
207,Lira,Kuban,2020,30
208,Pripyat,Kuban,2020,25
209,Bazaliya,Kuban,2020,0
210,Major,Kuban,2020,10
212,Senator,Kuban,2020,10
213,Lissabon,Kuban,2020,5
220,Opus,Kuban,2020,10
222,Kioto,Kuban,2020,10
223,Asuka,Kuban,2020,0
224,Amfor,Kuban,2020,15
225,Saydina,Kuban,2020,60
227,Chara,Kuban,2020,10
228,Delta,Kuban,2020,25
229,SG_Pikor,Kuban,2020,0
233,Saska,Kuban,2020,15
234,Kassidi,Kuban,2020,15
235,Kofu,Kuban,2020,15
236,Kanata,Kuban,2020,0
238,Nilin_/_Delta,Kuban,2020,20
239,Khlorned_(ch/semyan.),Kuban,2020,0
243,Sava,Kuban,2020,10
244,Nilin,Kuban,2020,0
249,Shuge,Kuban,2020,0
250,Ananda,Kuban,2020,0
39,HM_648_(Rita),Kuban,2021,10
45,Chera_1,Kuban,2021,5
48,Zolotista,Kuban,2021,5
52,Klondayk,Kuban,2021,0
84,Moravians,Kuban,2021,2
101,Samer_1,Kuban,2021,2
102,Samer_2,Kuban,2021,0
103,Samer_3,Kuban,2021,1
104,Samer_4,Kuban,2021,2
105,Samer_5,Kuban,2021,1
117,Amazonka,Kuban,2021,5
118,Suyedina,Kuban,2021,0
119,Solena,Kuban,2021,0
120,Sireliya,Kuban,2021,0
121,Lider_1,Kuban,2021,5
124,NS_Nataliya,Kuban,2021,0
127,NS_Mina,Kuban,2021,0
143,SK_Doka,Kuban,2021,0
144,SK_Unika,Kuban,2021,0
145,SK_Viola,Kuban,2021,0
148,Avanta,Kuban,2021,5
149,Bara,Kuban,2021,15
151,Volma,Kuban,2021,10
152,Kazachka,Kuban,2021,25
154,OAS_Prudens,Kuban,2021,3
156,Selekta_101,Kuban,2021,20
159,SK_Farta,Kuban,2021,20
161,Arleta,Kuban,2021,0
162,Sparta,Kuban,2021,3
163,SK_Agra,Kuban,2021,1
164,Slaviya,Kuban,2021,0
165,Olimpiya,Kuban,2021,0
166,SK_Optima,Kuban,2021,0
167,Selekta_201,Kuban,2021,0
168,YES_Gladiator,Kuban,2021,5
171,SK_Veda,Kuban,2021,0
172,SK_Riana,Kuban,2021,0
173,Selekta_301,Kuban,2021,0
174,Vilana,Kuban,2021,0
175,PIN_419,Kuban,2021,0
179,Selekta_302,Kuban,2021,0
182,YES_Palador,Kuban,2021,0
186,Zelda,Kuban,2021,5
187,OAK_M·edok,Kuban,2021,0
189,RZHT_Sforza,Kuban,2021,3
191,Santana,Kuban,2021,0
194,Olviya,Kuban,2021,0
198,Annushka,Kuban,2021,0
201,Svapa,Kuban,2021,2
203,Paradis,Kuban,2021,25
205,Oressa,Kuban,2021,0
207,Lira,Kuban,2021,20
208,Pripyat,Kuban,2021,10
209,Bazaliya,Kuban,2021,0
212,Senator,Kuban,2021,0
213,Lissabon,Kuban,2021,0
219,Protino,Kuban,2021,0
220,Opus,Kuban,2021,0
222,Kioto,Kuban,2021,0
225,Saydina,Kuban,2021,0
234,Kassidi,Kuban,2021,0
235,Kofu,Kuban,2021,0
236,Kanata,Kuban,2021,0
238,Nilin_/_Delta,Kuban,2021,0
243,Sava,Kuban,2021,0
251,L-17-68_(SK_Avrora),Kuban,2021,15
143,SK_Doka,Chernosem,2019,0
144,SK_Unika,Chernosem,2019,0
146,Osmon,Chernosem,2019,0
147,Mezenka,Chernosem,2019,0
148,Avanta,Chernosem,2019,0
149,Bara,Chernosem,2019,0
150,Zlata,Chernosem,2019,0
151,Volma,Chernosem,2019,0
152,Kazachka,Chernosem,2019,0
153,Georgiya,Chernosem,2019,0
154,OAS_Prudens,Chernosem,2019,0
155,Amigo,Chernosem,2019,0
157,Puma,Chernosem,2019,0
159,SK_Farta,Chernosem,2019,0
161,Arleta,Chernosem,2019,0
196,Svetlaya,Chernosem,2019,15
197,Kasatka,Chernosem,2019,15
198,Annushka,Chernosem,2019,0
199,Eldorado,Chernosem,2019,5
200,SibNIIK_315,Chernosem,2019,10
201,Svapa,Chernosem,2019,0
202,Yug_30,Chernosem,2019,0
203,Paradis,Chernosem,2019,5
205,Oressa,Chernosem,2019,0
