"Genotype","X.Intercept."
"PIN_419",0.13735781258144
"Poltava",0.0692680946495651
"PR_130_900_4",0.0236042816743641
"Pripyat",-0.121771294178589
"Protina",0.00785395964410741
"Protino",-0.0091046933613175
"Puma",-0.0572086200196351
"Ras_20",-0.141530327935953
"Regina",-0.0125847182087855
"Ros",-0.0452795515137213
"Rudoi",-0.155991145250581
"RZHT_Sforza",-0.0282233866728573
"Saaremaa",-0.226742912889589
"Safrano",0.152792044367878
"Samer_1",-0.157312524666035
"Samer_2",-0.113372249407499
"Samer_3",-0.13576428179859
"Samer_4",-0.0717383099946743
"Samer_4_(povt)",-0.0679428874403411
"Samer_5",-0.074935676423324
"Samer_5_(povt)",-0.0430388195706728
"Santana",-0.0295337191609805
"Saska",0.0385796483070177
"Sava",0.109589065264835
"Saydina",0.0209453558744236
"Selekta_201",0.0506148185400689
"Selekta_301",0.135222084787832
"Selekta_302",0.141238253588036
"Senator",0.00778352787403128
"Sevilya",0.0671328737506527
"Sfera",0.156628003121984
"SG_Kalao",0.0856693400484821
"SG_Kea",0.0519857626765605
"SG_Pikor",0.045950454362322
"Shama",0.161431508441431
"Sharm",0.115089903616417
"Shuge",0.117871230070629
"SibNIIK_315",-0.237097346233413
"Silesia",-0.0176888388686123
"Sireliya",-0.0371033088061445
"SK_69",-0.0562742176681064
"SK_Agra",0.00662538663412383
"SK_Doka",-0.178284831644584
"SK_Farta",-0.0686003264018447
"SK_Optima",0.0593700768987413
"SK_Riana",0.0734027477418657
"SK_Unika",-0.0154157995304855
"SK_Veda",0.0595905150327597
"SK_Viola",0.159591873473353
"Slaviya",0.0480515328111271
"Smuglyanka",0.069842957461843
"Solador",0.143431735723247
"Solena",-0.0486162727914177
"Soriano",0.150656455000344
"Soyer_6",-0.0525203683645962
"Soyer_7",-0.130174869331883
"Sparta",-0.00456218439959346
"Sponsor",0.179280675906204
"Sprite",-0.121141033998209
"Sultana",-0.0490096727528924
"Suyedina",-0.0456911716589213
"Svapa",-0.152874837487851
"Svetlaya",-0.276582474089271
"Svetlaya_(povt)",-0.213569894852204
"Tabolinskaya_116",0.0889596347125532
"Tankuro",0.213890454128138
"Tatyana_Ryazantseva",-0.00418241207187654
"Tiara",0.0363506652885594
"Trembita",0.139924939019362
"Triada",0.0454226968805024
"Tundra",-0.103808708172835
"Urkan",-0.0183459638316294
"USKHI-6",-0.11890827603387
"Ussuriyskaya_332",0.18223493581425
"Ussuriyskaya_511",0.1966698306745
"Valyevka",0.116990755946904
"Varsovie",-0.137254588902385
"VAZ_100",0.0272377412577617
"Velichava",0.141988694957838
"Vereteyka",-0.0664961506928205
"Vetsautses_brune",-0.0421210039913355
"Vilana",0.122136020069772
"Vilnensis",-0.143962887668694
"Volga",0.0313175412184975
"Volma",-0.161533706586735
"Yamajirushi_(China)",0.203470419801335
"YES_Gladiator",0.0438292556144658
"YES_Pallador",0.158391555709847
"Yevgeniya",-0.0207787746696408
"Yug_30",-0.124146671779269
"Zaryanitsa",-0.178782102974808
"Zelda",-0.117474952550136
"Zhalpaksay",0.0394380639497286
"Zhansaya",0.192919760016026
"Zlata",-0.152799460645833
"Zolotista",-0.125326126599437
